Game Name,Version,Repository,Short Description
"0ad","0.0.23.1-2",main,"Real-time strategy game of ancient warfare"
"2048-qt","0.1.6-1+b1",main,"mathematics based puzzle game"
"3dchess","0.8.1-20",main,"Play chess across 3 boards!"
"4digits","1.1.4-1+b1",main,"guess-the-number game, aka Bulls and Cows"
"7kaa","2.15.1+dfsg-1",main,"Seven Kingdoms Ancient Adversaries: real-time strategy game"
"a7xpg","0.11.dfsg1-10",main,"chase action game"
"aajm","0.4-9+b2",main,"ASCII art version of jugglemaster"
"abe","1.1+dfsg-3",main,"side-scrolling game named "Abe's Amazing Adventure"
"ace-of-penguins","1.5~rc2-3",main,"penguin-themed solitaire games"
"acm","5.0-29.2",main,"Multi-player classic aerial combat simulation"
"adonthell","0.3.8-1",main,"2D graphical roleplaying game"
"airstrike","0.99+1.0pre6a-9",main,"2d dogfight game in the tradition of 'Biplanes' and 'BIP'"
"aisleriot","1:3.22.7-2",main,"GNOME solitaire card game collection"
"alex4","1.1-8",main,"Alex the Allegator 4 - a retro platform game"
"alien-arena","7.66+dfsg-5",contrib,"Standalone 3D first person online deathmatch shooter"
"alienblaster","1.1.0-10",main,"Classic 2D shoot 'em up"
"allure","0.8.3.0-3",main,"near-future Sci-Fi roguelike and tactical squad game"
"amoebax","0.2.1+dfsg-4",main,"Puyo Puyo-style puzzle game for up to two players"
"amphetamine","0.8.10-21",main,"jump'n run game with unique visual effects"
"an","1.2-5",main,"very fast anagram generator"
"angband","1:3.5.1-2.3",main,"Single-player, text-based, dungeon simulation game"
"angrydd","1.0.1-12",main,"Angry Drunken Dwarves - falling blocks puzzle game"
"animals","201207131226-2.1",main,"Traditional AI animal guessing engine using a binary tree DB"
"antigravitaattori","0.0.3-8",main,"Multiplayer flying saucer racing game"
"ardentryst","1.71-6",main,"Action/RPG sidescoller, focused on story and character development"
"armagetronad","0.2.8.3.4-2",main,"3D Tron-like high speed game"
"armagetronad-dedicated","0.2.8.3.4-2",main,"dedicated game server for Armagetron Advanced"
"asc","2.6.1.0-5+b1",main,"turn-based strategy game"
"asciijump","1.0.2~beta-10",main,"Small and funny ASCII-art game about ski jumping"
"assaultcube","1.1.0.4+dfsg2-1.2+b1",contrib,"realistic first-person-shooter"
"astromenace","1.3.2+repack-5",contrib,"hardcore 3D space shooter with spaceship upgrade possibilities"
"asylum","0.3.2-3",main,"surreal platform shooting game"
"atanks","6.5~dfsg-3",main,"tank-battling game"
"atom4","4.1-9+b1",main,"Original two-player color puzzle game"
"atomix","3.31.90-1",main,"puzzle game for building molecules out of separate atoms"
"auralquiz","1.0.0-1.1",main,"simple music quiz game using your own music files"
"balder2d","1.0-2+b1",main,"A 2D shooter in zero gravity"
"ballerburg","1.2.0-3",main,"Classical castle combat game"
"ballz","1.0.4-1",main,"B.A.L.L.Z. - platform/puzzle game where you control a rolling ball"
"bambam","1.0.1+dfsg-1",main,"keyboard mashing and doodling game for babies"
"barrage","1.0.4-3",main,"Rather destructive action game"
"bastet","0.43-5+b1",main,"ncurses Tetris clone with a bastard algorithm"
"bb","1.3rc1-11",main,"ASCII-art demo based on AAlib"
"beneath-a-steel-sky","0.0372-7",main,"classic 2D point and click science fiction adventure game"
"berusky","1.7.1-1",main,"Logic game based on Sokoban"
"berusky2","0.10-7+deb10u1",main,"logic game Bugs Escape 3D"
"between","6+dfsg1-3",main,"game about consciousness and isolation"
"billard-gl","1.75-17",main,"3D billiards game"
"biloba","0.9.3-8",main,"turn based strategy board game for up to 4 players"
"biniax2","1.30-4",main,"logic game with arcade and tactics modes"
"black-box","1.4.8-4",main,"Find the crystals"
"blastem","0.6.2.1-1",main,"Fast and accurate Genesis emulator"
"blinken","4:17.08.3-2",main,"KDE version of the Simon electronic memory game"
"blobandconquer","1.11-dfsg+20-1.1",main,"3D platform shooting game"
"blobby","1.0-3+b1",main,"Volleyball game with blobs"
"bloboats","1.0.2+dfsg-3",main,"Boat racing game"
"blobwars","2.00-1+b1",main,"platform shooting game"
"blockattack","2.3.0-1+b1",main,"puzzle game inspired by Tetris"
"blockout2","2.4+dfsg1-9",main,"Tetris like game (3D-tetris)"
"blocks-of-the-undead","1.0-7",main,"Tetris Attack clone with spooky undertones"
