Game Name,Version,Repository,Short Description,Description,Tags,Homepage,Category,Interface,Tracker Info,Screenshots,Score,Notes
0ad,0.0.23.1-2,main,Real-time strategy game of ancient warfare,"Real-time strategy game of ancient warfare,,
0 A.D. (pronounced ""zero ey-dee"") is a free, open-source, cross-platform real-time strategy (RTS) game of ancient warfare. In short, it is a historically-based war/economy game that allows players to relive or rewrite the history of Western civilizations, focusing on the years between 500 B.C. and 500 A.D. The project is highly ambitious, involving state-of-the-art 3D graphics, detailed artwork, sound, and a flexible and powerful custom-built game engine.","role::program, uitoolkit::sdl, uitoolkit::wxwidgets, use::gameplaying, x11::application",https://play0ad.com/,strategy,"graphical, 3d",https://tracker.debian.org/pkg/0ad,https://screenshots.debian.net/package/0ad,5.0,"Absolutely, i need to play well this game"
2048-qt,0.1.6-1+b1,main,mathematics based puzzle game,"mathematics based puzzle game,,
2048 puzzle is mathematics based puzzle game where you have to slide tiles on a grid to combine them and create a tile with the number 2048. You have to merge the similar number tiles (2n) by moving the arrow keys in four different directions. When two tiles with the same number touch, they will merge into one.","role::program, uitoolkit::qt, use::gameplaying, x11::application",https://github.com/xiaoyong/2048-Qt,puzzle,graphical,https://tracker.debian.org/pkg/2048-qt,https://screenshots.debian.net/package/2048-qt,,nan
3dchess,0.8.1-20,main,Play chess across 3 boards!,"Play chess across 3 boards!,,
There are three boards, stacked vertically; 96 pieces of which most are the traditional chess pieces with just a couple of additions; 26 possible directions in which to move. Provides a challenging enough game to all but the most highly skilled players.","implemented-in::c, role::program, uitoolkit::xlib, use::gameplaying, x11::application",https://www.ibiblio.org/pub/Linux/games/strategy/,strategy,graphical,https://tracker.debian.org/pkg/3dchess,https://screenshots.debian.net/package/3dchess,3.0,weird chess
4digits,1.1.4-1+b1,main,"guess-the-number game, aka Bulls and Cows",,,,,,https://tracker.debian.org/pkg/4digits,https://screenshots.debian.net/package/4digits,,nan
7kaa,2.15.1+dfsg-1,main,Seven Kingdoms Ancient Adversaries: real-time strategy game,"Seven Kingdoms: Ancient Adversaries - real-time strategy game,,
Seven Kingdoms, designed by Trevor Chan, brings a unique blend of real-time strategy with the addition of trade, diplomacy, and espionage.,,
,,
The game enables players to compete against up to six other kingdoms allowing players to conquer opponents by defeating them in war (with troops or machines), capturing their buildings with spies, or offering opponents money for their kingdom.,,
,,
In 2009, Enlight Software released the game under the GPL license.  7kfans project is updating the game and provides a community for fans.  A free Seven Kingdoms will help continue the legacy.","role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://www.7kfans.com/,strategy,graphical,https://tracker.debian.org/pkg/7kaa,https://screenshots.debian.net/package/7kaa,,nan
a7xpg,0.11.dfsg1-10,main,chase action game,"chase action game,,
The goal of the game is to collect all the gold bullions found in each level and avoid crashing into any of the enemies. As you progress through the levels you will encounter harder enemies, and you can gain a short period of invincibility if you gather gold at high speeds.,,
,,
A7Xpg is another gem among many by Kenta Cho.","implemented-in::TODO, role::program, uitoolkit::sdl, use::gameplaying, x11::application",https://www.asahi-net.or.jp/~cs8k-cyu/windows/a7xpg_e.html,arcade,"graphical, 3d",https://tracker.debian.org/pkg/a7xpg,https://screenshots.debian.net/package/a7xpg,,nan
aajm,0.4-9+b2,main,ASCII art version of jugglemaster,,,,,,https://tracker.debian.org/pkg/aajm,https://screenshots.debian.net/package/aajm,,nan
abe,1.1+dfsg-3,main,"side-scrolling game named Abe's Amazing Adventure""","side-scrolling game named ""Abe's Amazing Adventure"",,
A scrolling, platform-jumping, key-collecting, ancient pyramid exploring game, vaguely in the style of similar games for the Commodore+4. The game is intended to show young people all the cool games they missed.","implemented-in::c, role::program, uitoolkit::sdl, use::entertaining, use::gameplaying, x11::application",https://abe.sourceforge.net/,arcade,graphical,https://tracker.debian.org/pkg/abe,https://screenshots.debian.net/package/abe,,nan
ace-of-penguins,1.5~rc2-3,main,penguin-themed solitaire games,"penguin-themed solitaire games,,
The Ace of Penguins is a set of solitaire games inspired by the ones available for MS Windows, but with a number of enhancements.,,
,,
The package consists of the games Canfield, Freecell, Golf, Mastermind, Merlin, Minesweeper, Pegged, Solitaire, Spider, Taipei (with a level editor), and Thornq.,,
,,
NOTE: If you experience problems with the F1 help key, please make sure you have package xfonts-100dpi installed.","role::program, uitoolkit::xlib, use::gameplaying, x11::application",http://www.delorie.com/store/ace/,puzzle,graphical,https://tracker.debian.org/pkg/ace-of-penguins,https://screenshots.debian.net/package/ace-of-penguins,4.0,"Solitary minigames, penguin temed"
acm,5.0-29.2,main,Multi-player classic aerial combat simulation,"Multi-player classic aerial combat simulation,,
A multiplayer aerial combat simulation. Players engage in air to air combat against one another using heat seeking missiles and cannons.,,
,,
Main features include:,,
* Simulation with 6 degrees of freedom.,,
* Structural limit to the vertical positive/negative load.,,
* Classic instruments, navigation and head-up display (HUD).,,
* Several aircraft models implemented, both civil and military.,,
* Two scenes provided, with many runways and radio stations.,,
,,
acm runs under the X window system.  This version of acm is implemented as a distributed simulation.  It communicates information via the IEEE Distributed Interactive Simulation protocol.,,
,,
The original version of acm was written by Riley Rainey.  This is Umberto Salsi's updated version.","network::client, network::server, role::program, suite::gnu, uitoolkit::xlib, use::gameplaying, x11::application",http://www.icosaedro.it/acm/download.html,arcade,graphical,https://tracker.debian.org/pkg/acm,https://screenshots.debian.net/package/acm,,nan
